
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2024-05-10;56.305,25;4559647227272;58.268,33;4045463195004;53.514,59;5496848860367;56.992,36;1552923054390;90.009,84;1114054813641;52.560,29;3769883241324;57.820,69;221382841703
2024-05-11;56.305,25;4559647227272;58.268,33;4045463195004;53.514,59;5496848860367;56.992,36;1552923054390;90.009,84;1114054813641;52.560,29;3769883241324;57.820,69;221382841703
2024-05-12;56.305,25;4559647227272;58.268,33;4045463195004;53.514,59;5496848860367;56.992,36;1552923054390;90.009,84;1114054813641;52.560,29;3769883241324;57.820,69;221382841703
2024-05-13;56.129,76;4537729787146;58.074,97;4024379128716;53.334,33;5474538449272;56.815,36;1548317127454;89.764,67;1110508318646;52.369,26;3756860626820;57.688,38;220925388300
2024-05-14;56.010,76;4529368434736;57.974,07;4017508940781;53.238,26;5462698969410;56.710,55;1546498703881;89.595,31;1107189505750;52.276,59;3750929940437;57.575,10;220741005514
2024-05-15;56.045,54;4522630943083;58.023,54;4017008908749;53.289,68;5463725721525;56.742,28;1546522584967;89.617,05;1114628933731;52.316,37;3744800299633;57.616,41;223720321260
2024-05-16;56.466,72;4559739104217;58.469,84;4048185657863;53.690,76;5506009363076;57.147,22;1561351752205;90.233,30;1123876844233;52.701,46;3775961926246;58.003,87;225914675117
2024-05-17;56.464,09;4560604787331;58.451,50;4045219068368;53.706,26;5508060868038;57.146,29;1562192103329;90.259,98;1125332991265;52.699,12;3777418893671;58.014,57;226494536616
2024-05-18;56.464,09;4560604787331;58.451,50;4045219068368;53.706,26;5508060868038;57.146,29;1562192103329;90.259,98;1125332991265;52.699,12;3777418893671;58.014,57;226494536616
2024-05-19;56.464,09;4560604787331;58.451,50;4045219068368;53.706,26;5508060868038;57.146,29;1562192103329;90.259,98;1125332991265;52.699,12;3777418893671;58.014,57;226494536616
2024-05-20;56.395,00;4554462545620;58.401,22;4041060394308;53.645,71;5499989886155;57.092,97;1560996667985;90.182,90;1124145549274;52.648,90;3773727988091;57.952,83;226240841384
2024-05-21;56.395,00;4554462545620;58.401,22;4041060394308;53.645,71;5499989886155;57.092,97;1560996667985;90.182,90;1124145549274;52.648,90;3773727988091;57.952,83;226240841384
2024-05-22;56.418,12;4578657058235;58.430,86;4053541579325;53.667,06;5526487493551;57.112,56;1562741587709;90.236,60;1126456628510;52.665,69;3777226247834;57.978,76;226498074742
2024-05-23;56.343,86;4575775100681;58.343,86;4054756013826;53.589,18;5524851701467;57.040,88;1561304606301;90.106,51;1125127452457;52.603,45;3773185348947;57.913,46;226364874734
